Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Fibers: Cy5 Length µm	Fibers: DsRed Length µm	Fibers: EGFP Length µm	ID	Side	Parent ID	Num Detections	Num Fibers: Cy5	Num Fibers: DsRed	Num Fibers: EGFP	Area µm^2	Perimeter µm
mouse0_032.ome.tiff	ebbdfb88-b967-43e6-b259-43fcad8b13c7	Annotation	PB	Left: PB	P-sen	Geometry	3972.9	4764.2	0.0	141.2875	0.0	867.0	0.0	1132.0	414	150	160	104	185664.9	3687.1
mouse0_032.ome.tiff	369436c1-90cb-4407-b20d-707917a8fb98	Annotation	KF	Left: KF	PB	Polygon	3685.5	5147.2	8.0264	26.1318	984.2426	123.0	0.0	867.0	339	128	123	88	96131.8	1190.7
mouse0_032.ome.tiff	e4969fbd-3969-47d5-b675-8d46e68ac4c7	Annotation	MY	Left: MY	HB	Geometry	4064.4	5535.1	16.2874	0.0	0.0	354.0	0.0	1065.0	7098	2117	3363	1618	1290607.6	16399.7
mouse0_032.ome.tiff	16c60ea9-f2b3-4a61-9e91-2b1345256ed5	Annotation	MY-sen	Left: MY-sen	MY	Geometry	3454.4	5888.6	22.2094	0.0	31.8236	386.0	0.0	354.0	552	29	46	477	260024.3	3695.1
mouse0_032.ome.tiff	ab76c7b2-9103-47a1-96b8-98fade6ac36f	Annotation	NTB	Left: NTB	MY-sen	Polygon	5135.6	6638.6	463.5724	16.6004	4.3071	642.0	0.0	386.0	515	1	37	477	49040.0	939.03
mouse0_032.ome.tiff	6a5e6e09-e333-44bb-bdeb-9b79e4801744	Annotation	CN	Left: CN	MY-sen	Polygon	3063.6	5714.2	235.2584	507.6332	355.827	607.0	0.0	386.0	37	28	9	0	210984.2	2756.1
mouse0_032.ome.tiff	d3e72a2f-6714-4f1e-b736-948ee947a4fb	Annotation	DCO	Left: DCO	CN	Geometry	3169.1	5317.5	0.0	8.574	10.6705	96.0	0.0	607.0	4	4	0	0	4316.5	610.28
mouse0_032.ome.tiff	36bef26c-18f7-4104-8564-948cd5cfdd40	Annotation	VCO	Left: VCO	CN	Polygon	3061.4	5722.5	5.0614	0.0	0.0	101.0	0.0	607.0	33	24	9	0	206667.7	2715.4
mouse0_032.ome.tiff	1e3a20aa-a11d-4573-9596-87a64a1aa84c	Annotation	MY-mot	Left: MY-mot	MY	Geometry	4278.1	5237.3	67.8751	214.4343	2194.5403	370.0	0.0	354.0	4876	1716	2486	674	759424.1	8262.4
mouse0_032.ome.tiff	fefe90cb-8caa-4dae-aa90-4f66bd9905c1	Annotation	IRN	Left: IRN	MY-mot	Geometry	4588.0	6109.8	11.2181	0.0	0.0	136.0	0.0	370.0	408	103	249	56	46277.9	1190.9
mouse0_032.ome.tiff	b6665c24-9983-4e46-8212-df992e9d03d5	Annotation	VI	Left: VI	MY-mot	Polygon	5157.1	5160.3	132.34	538.6207	153.8647	653.0	0.0	370.0	3	0	3	0	5852.9	395.69
mouse0_032.ome.tiff	5a0d2176-7ad2-46a9-bd70-f43b3ce6450c	Annotation	GRN	Left: GRN	MY-mot	Geometry	5518.0	6153.8	1.3221	0.0	0.0	1048.0	0.0	370.0	5	0	0	5	1006.6	290.46
mouse0_032.ome.tiff	5af05442-d806-45a5-88dc-eccf563ab737	Annotation	VNC	Left: VNC	MY-mot	Geometry	4227.5	4862.3	0.0	438.1828	207.841	701.0	0.0	370.0	1101	203	496	402	388847.1	3892.0
mouse0_032.ome.tiff	ff502371-a7d9-44a2-9a35-00fac8133e4c	Annotation	MV	Left: MV	VNC	Geometry	4257.6	4889.4	36.7911	80.2101	7.7056	202.0	0.0	701.0	982	193	449	340	343971.2	3014.1
mouse0_032.ome.tiff	1476c8f6-3e54-4e19-bbdf-f67eb95d6710	Annotation	SUV	Left: SUV	VNC	Polygon	3997.1	4654.2	61.8715	11.9926	0.0	217.0	0.0	701.0	119	10	47	62	44875.9	877.95
mouse0_032.ome.tiff	c4494e44-2663-4093-88c1-9865857743b7	Annotation	PARN	Left: PARN	MY-mot	Polygon	4274.7	5567.9	61.6058	156.5793	1832.243	852.0	0.0	370.0	3359	1410	1738	211	317439.7	2493.2
mouse0_032.ome.tiff	5d65faa8-c411-4a1c-8b39-6206a22bbc6b	Annotation	MY-sat	Left: MY-sat	MY	Polygon	5641.0	6244.9	523.1114	4260.4844	5327.4935	379.0	0.0	354.0	319	0	60	259	31220.4	1110.9
mouse0_032.ome.tiff	9011261d-42c4-4aa9-b143-609961b5fc26	Annotation	RM	Left: RM	MY-sat	Polygon	5641.0	6244.9	1.0952	0.0	0.0	206.0	0.0	379.0	319	0	60	259	31220.4	1110.9
mouse0_032.ome.tiff	b599ae25-d4ab-45c6-a6f3-578b4d4e33df	Annotation	VS	Left: VS	root	Geometry	5023.2	4349.1	17080.0968	41879.1258	45828.9825	73.0	0.0	997.0	1	1	0	0	107477.4	2338.2
mouse0_032.ome.tiff	9221fb0e-9189-43fb-bcb8-7621763fab45	Annotation	V4	Left: V4	VS	Geometry	5023.2	4349.1	1.3221	0.0	0.0	145.0	0.0	73.0	1	1	0	0	107477.4	2338.2
mouse0_032.ome.tiff	bc6fd02f-65c1-4981-aeea-ff81ed95c0a5	Annotation	V4r	Left: V4r	V4	Geometry	2965.9	5605.2	0.0	8.0264	7.7056	153.0	0.0	145.0	0	0	0	0	1184.2	200.39
mouse0_032.ome.tiff	97d55339-0625-45d8-8296-9d258b66b746	Annotation	fiber tracts	Left: fiber tracts	root	Geometry	3811.2	5016.0	14.222	0.0	0.0	1009.0	0.0	997.0	1905	162	537	1206	2555097.5	41002.3
