Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Fibers: Cy5 Length µm	Fibers: DsRed Length µm	Fibers: EGFP Length µm	ID	Side	Parent ID	Num Detections	Num Fibers: Cy5	Num Fibers: DsRed	Num Fibers: EGFP	Area µm^2	Perimeter µm
mouse0_036.ome.tiff	12fdf6e0-957b-4d24-90ba-3346335ec002	Annotation	Root		Root object (Image)	Geometry	5420.6	4357.7	58.7348	2841.7065	239.8808				63371	7429	48286	7656	32484992.5	26826.6
mouse0_036.ome.tiff	d4c2a36b-5634-4e73-be0b-213ed4be8617	Annotation	root	Right: root	Root	Polygon	7204.0	4239.6	3.0978	36.1323	5.8359	997.0	0.0		3099	520	2338	241	16447573.6	18607.8
mouse0_036.ome.tiff	45de296d-4427-453e-8414-351d2c125b54	Annotation	grey	Right: grey	root	Geometry	7263.7	4232.0	11917.6604	15593.9546	1124.7603	8.0	0.0	997.0	2941	489	2259	193	13716099.7	52604.7
mouse0_036.ome.tiff	6cc7f427-a7b2-4987-b3e0-b1c866a812cd	Annotation	CB	Right: CB	grey	Geometry	7577.3	3550.8	89.4707	242.6799	138.7708	512.0	0.0	8.0	78	68	9	1	8776907.2	36784.0
mouse0_036.ome.tiff	bbc5524e-a5ee-4455-8c3f-3ae901c71655	Annotation	CBN	Right: CBN	CB	Geometry	6972.2	4033.0	120.8166	370.9009	117.3631	519.0	0.0	512.0	32	23	9	0	914467.4	6800.7
mouse0_036.ome.tiff	3ee943df-5e7f-4478-80bb-5ec6e0d3634e	Annotation	VeCB	Right: VeCB	CBN	Polygon	6508.1	4231.2	27.4037	470.0179	99.0156	589508455.0	0.0	519.0	2	2	0	0	86098.6	1191.1
mouse0_036.ome.tiff	a3285266-7bb0-4d90-838f-5988165b0f9d	Annotation	DN	Right: DN	CBN	Polygon	7782.5	4289.2	1.3221	3.4186	0.0	846.0	0.0	519.0	0	0	0	0	175821.2	1668.1
mouse0_036.ome.tiff	16a12c80-154b-4e01-819c-c9a239581548	Annotation	IP	Right: IP	CBN	Polygon	7177.7	3950.6	0.0	0.0	0.0	91.0	0.0	519.0	23	15	8	0	416815.0	3088.8
mouse0_036.ome.tiff	bd20980e-abd6-4e53-b986-6b4438a5b9fb	Annotation	FN	Right: FN	CBN	Polygon	6174.1	3915.1	3.0978	1533.8637	1868.4498	989.0	0.0	519.0	7	6	1	0	235732.6	1866.1
mouse0_036.ome.tiff	d4aa1aba-f7fb-4308-ac9b-a18bec879b0f	Annotation	CBX	Right: CBX	CB	Geometry	7659.4	3480.8	0.0	0.0	0.0	528.0	0.0	512.0	34	33	0	1	7708339.7	30590.9
mouse0_036.ome.tiff	962db405-6ca2-4c5d-811f-ad9920c5c2a2	Annotation	VERM	Right: VERM	CBX	Geometry	5973.4	2721.4	53.0859	144.8457	18.4798	645.0	0.0	528.0	9	8	0	1	2440993.4	11464.9
mouse0_036.ome.tiff	579703d3-6a07-46e1-8677-2f4259d2e19a	Annotation	LING	Right: LING	VERM	Geometry	5579.2	4097.1	106.8494	708.4098	177.8083	912.0	0.0	645.0	2	2	0	0	95740.7	1813.0
mouse0_036.ome.tiff	4bccb30c-50d1-487c-9060-f25a52211931	Annotation	CENT	Right: CENT	VERM	Polygon	5518.8	3458.0	0.0	0.0	6.5164	920.0	0.0	645.0	0	0	0	0	145211.7	1709.3
mouse0_036.ome.tiff	9c844c04-5328-4f94-9e13-a284d0b27dd1	Annotation	CENT3	Right: CENT3	CENT	Polygon	5518.8	3458.0	0.0	0.0	0.0	984.0	0.0	920.0	0	0	0	0	145211.7	1709.3
mouse0_036.ome.tiff	67d9b72e-cf0f-43ee-be63-1749b8e31a2a	Annotation	CUL	Right: CUL	VERM	Geometry	6034.7	2878.9	18.509	7.6116	0.0	928.0	0.0	645.0	7	6	0	1	1469490.3	8331.6
mouse0_036.ome.tiff	b20dd19f-f0a4-4b9f-976b-447ff4c83c5f	Annotation	CUL4, 5	Right: CUL4, 5	CUL	Geometry	6034.7	2878.9	3.7394	22.4752	0.0	1091.0	0.0	928.0	7	6	0	1	1469490.3	8331.6
mouse0_036.ome.tiff	33f5ddf5-fe82-429e-acf6-27f18289b659	Annotation	DEC	Right: DEC	VERM	Geometry	5992.2	2078.0	9.1216	0.0	0.0	936.0	0.0	645.0	0	0	0	0	730587.5	4160.5
mouse0_036.ome.tiff	8f224dc5-894e-4a3d-ac7b-ff2b517f4295	Annotation	HEM	Right: HEM	CBX	Geometry	8440.7	3832.8	1.0952	0.0	0.0	1073.0	0.0	528.0	25	25	0	0	5267346.3	22344.6
mouse0_036.ome.tiff	30b1cb5d-09ea-4264-8228-8e35205c030f	Annotation	PRM	Right: PRM	HEM	Polygon	8770.5	4149.2	3.2857	0.0	0.0	1025.0	0.0	1073.0	0	0	0	0	167595.8	1901.3
mouse0_036.ome.tiff	a46a8340-ac74-41c4-90d6-76220c094453	Annotation	COPY	Right: COPY	HEM	Polygon	8186.0	4223.5	6.1567	0.0	0.0	1033.0	0.0	1073.0	0	0	0	0	148446.2	1718.0
mouse0_036.ome.tiff	0c061475-11c6-48e8-9af9-e4805ecc5bbc	Annotation	PFL	Right: PFL	HEM	Polygon	9141.7	5041.6	14.7696	8.6129	0.0	1041.0	0.0	1073.0	6	6	0	0	1735361.7	9342.0
mouse0_036.ome.tiff	1016e31d-4b9f-4a9a-aa43-d840323a4a06	Annotation	FL	Right: FL	HEM	Polygon	8605.4	5262.7	39.0755	3872.8221	641.6216	1049.0	0.0	1073.0	3	3	0	0	163659.2	1988.8
mouse0_036.ome.tiff	791f35c1-3979-4954-a553-15f22753d404	Annotation	SIM	Right: SIM	HEM	Geometry	7037.4	2643.2	23578.8462	192276.9385	30837.3762	1007.0	0.0	1073.0	9	9	0	0	729760.2	5882.8
mouse0_036.ome.tiff	85c3cabf-b9cd-46d6-9773-f71f8ff42765	Annotation	AN	Right: AN	HEM	Geometry	8338.6	3154.7	48.5958	15.544	0.0	1017.0	0.0	1073.0	7	7	0	0	2322523.2	7987.2
mouse0_036.ome.tiff	56837888-f817-4f80-9161-e346c686eee2	Annotation	ANcr1	Right: ANcr1	AN	Geometry	7985.8	2919.4	10.3497	2.1253	8.1203	1056.0	0.0	1017.0	4	4	0	0	1382665.0	6305.5
mouse0_036.ome.tiff	a11e4cbd-dc0d-4896-8501-b5156edb5d08	Annotation	ANcr2	Right: ANcr2	AN	Geometry	8857.6	3500.9	12.4462	17.6016	0.0	1064.0	0.0	1017.0	3	3	0	0	939858.2	4805.9
mouse0_036.ome.tiff	fc29e976-a214-4c44-8699-cfa97c9d7c2b	Annotation	BS	Right: BS	grey	Geometry	6706.6	5442.6	0.0	0.0	0.0	343.0	0.0	8.0	2863	421	2250	192	4939178.7	20463.4
mouse0_036.ome.tiff	cb61b120-1da7-4daa-8058-55ed112af81b	Annotation	HB	Right: HB	BS	Geometry	6706.6	5442.6	143.4996	3106.2621	357.3641	1065.0	0.0	343.0	2863	421	2250	192	4939178.7	20463.4
mouse0_036.ome.tiff	b16e9eb8-1efe-4043-9017-9edfbb6bb825	Annotation	MY	Right: MY	HB	Geometry	6706.6	5442.6	1.3221	32.6728	137.8644	354.0	0.0	1065.0	2863	421	2250	192	4939178.7	20463.4
mouse0_036.ome.tiff	4a9eec21-027e-4395-8efd-a03b28a9ce57	Annotation	MY-sen	Right: MY-sen	MY	Geometry	7703.9	5330.6	2.0965	0.0	0.0	386.0	0.0	354.0	49	29	17	3	861039.4	6430.0
mouse0_036.ome.tiff	bdcad188-0b64-4262-a4ec-a3bd53e4fbf5	Annotation	NTS	Right: NTS	MY-sen	Polygon	6913.9	5255.4	10.7645	35.9777	0.0	651.0	0.0	386.0	1	1	0	0	2104.1	200.27
mouse0_036.ome.tiff	a2419a27-b84c-4ffd-84d3-fdd2f8e8b881	Annotation	SPVO	Right: SPVO	MY-sen	Polygon	7327.7	5596.4	12.301	194.5738	37.6276	445.0	0.0	386.0	21	10	8	3	336057.4	2483.3
