Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Fibers: EGFP area µm^2	Fibers: DsRed area µm^2	ID	Side	Parent ID	Area µm^2	Perimeter µm
animalid1-SC_s1.ome.tiff	f9e99ffd-3305-468b-a176-c89bb56e2d5a	Annotation	10Sp	Right: 10Sp	C	Polygon	1349.6	962.15	1692.6975	184.8825	14	0	100	38680.5	1192
animalid1-SC_s1.ome.tiff	bbdc9b0f-7a5d-4967-a75e-cf44e8039416	Annotation	CC	Right: CC	C	Polygon	1390.8	995.26	4.86	13.9725	16	0	100	1420.6	249.96
animalid1-SC_s1.ome.tiff	78745ff5-7a5c-411e-bcea-26678c2da5e3	Annotation	VH	Right: VH	GM	Geometry	991.3	1122.9	12473.1904	1390.5675	110	0	71	364491.9	2822.1
animalid1-SC_s1.ome.tiff	7169388a-ab0d-4695-a034-c2e9dfaf9b97	Annotation	7Sp	Right: 7Sp	VH	Polygon	976.27	1011.9	6565.4551	685.8675	18	0	110	188763	1938.1
animalid1-SC_s1.ome.tiff	fef18eff-9956-457f-af32-eb91869f523b	Annotation	CeCv	Right: CeCv	VH	Polygon	1225	825.96	567	179.82	19	0	110	21546.1	562.03
animalid1-SC_s1.ome.tiff	7447dd13-ba25-4034-a8f8-c73714f140e7	Annotation	IMM	Right: IMM	VH	Polygon	1297	732.81	11.34	0	22	0	110	6377	313.81
animalid1-SC_s1.ome.tiff	8baa2bbd-b64b-47e3-a5cf-fe36b4459160	Annotation	IMM4	Right: IMM4	IMM	Polygon	1313.5	715.43	0.6075	0	224	0	22	1094.9	214.51
animalid1-SC_s1.ome.tiff	c92a707d-7307-42da-a569-93f475d9d0dd	Annotation	IMM5	Right: IMM5	IMM	Polygon	1293.5	736.42	10.7325	0	225	0	22	5282.1	311.78
animalid1-SC_s1.ome.tiff	42f01c29-e431-412c-8c6a-0d91a7b49521	Annotation	8Sp	Right: 8Sp	VH	Polygon	965.97	1290.1	3988.6426	252.1125	26	0	110	97820.8	1978.1
animalid1-SC_s1.ome.tiff	27fc3996-044e-44e8-9c5f-9985507bd37a	Annotation	MN	Right: MN	VH	Geometry	957.95	1393	1340.7524	272.7675	120	0	110	49985	1609.5
animalid1-SC_s1.ome.tiff	f2edc4fd-2031-4a2e-b454-26612ed95144	Annotation	Ax9	Right: Ax9	MN	Polygon	1180	1243.2	541.89	12.555	29	0	120	9590.4	436.08
animalid1-SC_s1.ome.tiff	2e653362-f5e0-41f9-aed0-ff88c4ab3b53	Annotation	IH9	Right: IH9	MN	Polygon	956.05	1482.1	425.8575	139.5225	42	0	120	26188.8	625.16
animalid1-SC_s1.ome.tiff	c54477fd-e64c-4d3f-a5f0-f0c4f9d0b777	Annotation	Ph9	Right: Ph9	MN	Polygon	901.28	1388.9	43.74	9.5175	48	0	120	3759.8	232.88
animalid1-SC_s1.ome.tiff	72536e2d-4fb7-4e22-8a30-78ad37b0d4ca	Annotation	TzSM9	Right: TzSM9	MN	Polygon	779.27	1309	329.265	111.1725	60	0	120	10445.9	393.93
animalid1-SC_s1.ome.tiff	f38c415d-99bf-4e8f-b917-d0d77bd44914	Annotation	root	Left: root	Root	Polygon	1853.7	1131.6	69830.3047	10440.0898	250	0		1569138.3	5009
animalid1-SC_s1.ome.tiff	2163d6fa-161e-4deb-8882-67be144d8f02	Annotation	WM	Left: WM	root	Geometry	1900.4	1247.4	30595.7246	4815.4502	130	0	250	895755.3	7936.2
animalid1-SC_s1.ome.tiff	059e8a57-9e25-48a1-b552-552056573e04	Annotation	vf	Left: vf	WM	Polygon	1580.1	1671.3	18566.6172	3111.4126	70	0	130	306230.8	2855.9
animalid1-SC_s1.ome.tiff	5bd97a19-fb36-4926-a73b-f5398652773a	Annotation	df	Left: df	WM	Polygon	1572	440.73	484.1775	108.54	74	0	130	135849.5	1563.4
animalid1-SC_s1.ome.tiff	60d25e2e-1492-452b-b61b-807e4bb5c567	Annotation	psdc	Left: psdc	df	Polygon	1515.1	394.82	24.9075	10.7325	64	0	74	15443.5	799.46
animalid1-SC_s1.ome.tiff	9646c3c0-2f51-4fc3-b2ae-75dfe7946dc3	Annotation	cu	Left: cu	df	Geometry	1652.3	423.48	217.485	60.75	61	0	74	65942.7	1117.2
