Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Cells: marker+ Count	Cells: marker- Count	ID	Side	Parent ID	Num Detections	Num Cells: marker+	Num Cells: marker-	Area µm^2	Perimeter µm
animalid0_034.ome.tiff	d8d647c3-1dbc-4ec0-9230-fe83fbcc9bf9	Annotation	Vn	Right: Vn	cm	Geometry	7628.9	5532.1	0	0	901	0	967	1	0	1	185516.9	2887.7
animalid0_034.ome.tiff	5da49c6f-3b99-4a3d-a4f5-3b606515e242	Annotation	sV	Right: sV	Vn	Geometry	7628.9	5532.1	0	0	229	0	901	1	0	1	185516.9	2887.7
animalid0_034.ome.tiff	70a0376e-37d8-423d-8053-e5fa24b21045	Annotation	sptV	Right: sptV	sV	Geometry	7628.9	5532.1	0	1	794	0	229	1	0	1	185516.9	2887.7
animalid0_034.ome.tiff	531d84bb-f982-412a-b308-e99a7eb14e37	Annotation	drt	Right: drt	cm	Polygon	5589.4	5892	0	0	792	0	967	0	0	0	37687.9	719.15
animalid0_034.ome.tiff	cf4a5ca9-d7c7-4f82-ad8d-26cb3b82a62c	Annotation	cett	Right: cett	drt	Polygon	5589.4	5892	0	0	932	0	792	0	0	0	37687.9	719.15
animalid0_034.ome.tiff	985be530-9f5b-4154-8a73-2a9b1417357a	Annotation	ml	Right: ml	cett	Polygon	5589.4	5892	0	0	697	0	932	0	0	0	37687.9	719.15
animalid0_034.ome.tiff	83c1d40c-1cd5-40b7-a773-64b2c1baf67c	Annotation	VIIIn	Right: VIIIn	cm	Geometry	6402.9	5918.1	0	0	933	0	967	6	3	3	206538.4	6689
animalid0_034.ome.tiff	2a905186-d844-478c-b8d1-daf6f24121cc	Annotation	vVIIIn	Right: vVIIIn	VIIIn	Geometry	7901.1	5475.3	0	0	413	0	933	0	0	0	43870	1439.2
animalid0_034.ome.tiff	12ebdfe2-01ec-4f9b-8944-660178bfaa9d	Annotation	cVIIIn	Right: cVIIIn	VIIIn	Geometry	5998.9	6037.6	0	1	948	0	933	6	3	3	162668.3	5249.8
animalid0_034.ome.tiff	54202880-2657-4974-9c75-6adc1d21c084	Annotation	ll	Right: ll	cVIIIn	Polygon	6634.3	5760.9	0	0	658	0	948	0	0	0	35889.6	727.71
animalid0_034.ome.tiff	427dcdbb-e3fc-4148-88c6-d6b5f5da0476	Annotation	tb	Right: tb	cVIIIn	Polygon	5819.1	6116.2	3	2	841	0	948	5	3	2	126870.1	4522.8
animalid0_034.ome.tiff	3fb2fd0e-98a0-4de0-97c5-5400b5a56551	Annotation	IIIn	Right: IIIn	cm	Polygon	5765.9	4950	0	0	832	0	967	3	0	3	12011	445.29
animalid0_034.ome.tiff	6186af2a-d1df-4218-b195-037508004ede	Annotation	mlf	Right: mlf	IIIn	Polygon	5765.9	4950	0	3	62	0	832	3	0	3	12011	445.29
animalid0_034.ome.tiff	7fe74752-b6b3-48d4-9eb3-529a01f3ac3a	Annotation	lfbs	Right: lfbs	fiber tracts	Polygon	5864.8	6134.1	0	0	983	0	1009	1	0	1	47266.7	953.74
