Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Fibers: Cy5 Length µm	Fibers: DsRed Length µm	Fibers: EGFP Length µm	Num Detections	Num Fibers: Cy5	Num Fibers: DsRed	Num Fibers: EGFP	Area µm^2	Perimeter µm
mouse1_050.ome.tiff	dce1b11a-6a0e-4f8d-a600-1850f78268d2	Annotation	CU	Right: CU	DCN	Polygon	6275.9	3766.1	711.0	720.0	0.0	13.6352	0.0	0.0	17	5	12	0	148181.9	1557.5
mouse1_050.ome.tiff	ddaa6378-769d-4eaf-a1e0-a6ca64026bda	Annotation	NTS	Left: NTS	MY-sen	Geometry	5136.9	3949.0	651.0	386.0	0.0	258.133	317.167	6.1567	164	92	72	0	136248.2	2350.1
mouse1_050.ome.tiff	fd91af71-eed4-46a6-a47c-d358765e50b0	Annotation	MY-sen	Left: MY-sen	MY	Geometry	4077.5	4245.6	386.0	354.0	0.0	55.5499	32.692	0.0	523	116	384	23	1353129.4	8170.2
mouse1_050.ome.tiff	2c253b77-bc2b-413d-afa1-cfdb7e1d31d5	Annotation	LRNm	Right: LRNm	LRN	Polygon	6791.8	5097.9	955.0	235.0	0.0	16908.3406	37342.4424	3156.9774	107	74	33	0	205564.0	2252.6
mouse1_050.ome.tiff	8e2e1713-0af9-4d33-93f1-e7a5aa6af867	Annotation	tspc	Right: tspc	tsp	Polygon	5715.1	4859.8	1043.0	877.0	0.0	0.0	0.0	0.0	12	8	4	0	43022.2	980.8
mouse1_050.ome.tiff	78801f40-a26d-4861-95bf-2a80e7e7dd26	Annotation	RO	Left: RO	MY-sat	Polygon	5517.3	4748.1	222.0	379.0	0.0	0.0	0.0	0.0	2	1	1	0	5472.8	455.55
mouse1_050.ome.tiff	f18c1888-76ff-44d3-a29f-167ea5052572	Annotation	IRN	Right: IRN	MY-mot	Geometry	6523.2	4599.0	136.0	370.0	0.0	0.0	0.0	0.0	296	264	23	9	268821.5	3572.5
mouse1_050.ome.tiff	8e79b928-910d-47ac-b1e2-0180709ae7e1	Annotation	c	Right: c	VS	Polygon	5505.6	4123.7	164.0	73.0	0.0	13549.9392	1232.486	202.8659	1	1	0	0	355.2	75.49
mouse1_050.ome.tiff	c363ddf7-e6fa-4ce0-a754-bb654a41d10d	Annotation	LRN	Left: LRN	MY-mot	Polygon	4321.3	5295.9	235.0	370.0	0.0	2379.0408	12074.8481	729.4831	725	102	599	24	199530.7	2135.3
mouse1_050.ome.tiff	e9e0b5ea-3c3a-4914-9505-9f533c20d166	Annotation	IRN	Left: IRN	MY-mot	Geometry	4570.5	4733.1	136.0	370.0	0.0	0.0	0.0	0.0	1204	393	760	51	261252.1	3548.7
mouse1_050.ome.tiff	c28bef73-2d81-4340-b01f-45d51a4d01b0	Annotation	sctv	Left: sctv	scp	Polygon	4127.7	5511.4	866.0	326.0	0.0	6.9311	0.0	0.0	1	1	0	0	14082.4	766.72
mouse1_050.ome.tiff	b52c7a1d-cdaf-4d04-a117-9e51401acf71	Annotation	tspc	Left: tspc	tsp	Polygon	5340.4	4877.8	1043.0	877.0	0.0	1756.1917	217.5095	35.8449	175	40	131	4	40451.1	1010.7
mouse1_050.ome.tiff	ecc4ad0c-721e-4f78-8d85-061b55e0dda7	Annotation	VERM	Right: VERM	CBX	Geometry	6008.8	3146.6	645.0	528.0	0.0	29.759	16.6004	0.0	2	1	1	0	925693.9	6778.2
mouse1_050.ome.tiff	3d7d7bba-d722-4f04-a7fb-f9ede8f44474	Annotation	DMX	Left: DMX	MY-mot	Polygon	5189.7	4049.9	839.0	370.0	0.0	2.9649	0.0	0.0	146	124	22	0	59413.9	1078.1
